                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |  103263848 |          0 |          0 |          0 |          0 |          0 |          0 |   77050937 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   80570886 |          0 |          0 |          0 |          0 |          0 |          0 |   80679720
  Cycles                             |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800 |   48630800
  IPC                                |       2.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.58 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.66
  Time (ns)                          |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700
  Idle time (ns)                     |     871048 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |    4016334 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |    3557882 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |   12157700 |    3484984
  Idle time (%)                      |       7.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      33.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      29.3% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      28.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   11659568 |          0 |          0 |          0 |          0 |          0 |          0 |    9511686 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    9951711 |          0 |          0 |          0 |          0 |          0 |          0 |    9963653
  num incorrect                      |      13403 |          0 |          0 |          0 |          0 |          0 |          0 |       7560 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |       6924 |          0 |          0 |          0 |          0 |          0 |          0 |       7214
  misprediction rate                 |      0.11% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.08% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.07% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.07%
