                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  111353078 |          0 |          0 |          0 |          0 |  101871572 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  101250269 |          0 |          0 |          0 |          0 |  101881224 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000 |   73136000
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.52 |       0.00 |       0.00 |       0.00 |       0.00 |       1.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.38 |       0.00 |       0.00 |       0.00 |       0.00 |       1.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000
  Idle time (ns)                     |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |     440123 |   18284000 |   18284000 |   18284000 |   18284000 |    2069454 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |    2689600 |   18284000 |   18284000 |   18284000 |   18284000 |    2135265 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000 |   18284000
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       2.4% |     100.0% |     100.0% |     100.0% |     100.0% |      11.3% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      14.7% |     100.0% |     100.0% |     100.0% |     100.0% |      11.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   10733262 |          0 |          0 |          0 |          0 |    9261263 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    9324328 |          0 |          0 |          0 |          0 |    9254545 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     396003 |          0 |          0 |          0 |          0 |     313775 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     253647 |          0 |          0 |          0 |          0 |     322312 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      3.56% |      0.00% |      0.00% |      0.00% |      0.00% |      3.28% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.65% |      0.00% |      0.00% |      0.00% |      0.00% |      3.37% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
