                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |   11493978 |          0 |          0 |          0 |          0 |          0 |          0 |  445864936 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  412444145 |          0 |          0 |          0 |          0 |          0 |          0 |  413682755
  Cycles                             |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800 |  393966800
  IPC                                |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.05
  Time (ns)                          |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700
  Idle time (ns)                     |   96407342 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |    2924502 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |    3232939 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |   98491700 |    3173431
  Idle time (%)                      |      97.9% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       3.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       3.3% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       3.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     798747 |          0 |          0 |          0 |          0 |          0 |          0 |   44299620 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   37436865 |          0 |          0 |          0 |          0 |          0 |          0 |   37673025
  num incorrect                      |      18231 |          0 |          0 |          0 |          0 |          0 |          0 |     343113 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     302046 |          0 |          0 |          0 |          0 |          0 |          0 |     302989
  misprediction rate                 |      2.23% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.77% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.80% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.80%
