                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |   36523268 |          0 |          0 |          0 |          0 |          0 |          0 |  311757868 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  226516707 |          0 |          0 |          0 |          0 |          0 |          0 |   93936839
  Cycles                             |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200 |  248811200
  IPC                                |       0.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.38
  Time (ns)                          |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800
  Idle time (ns)                     |   57125304 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |    8306077 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   24088097 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   62202800 |   46403023
  Idle time (%)                      |      91.8% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      13.4% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      38.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      74.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1518103 |          0 |          0 |          0 |          0 |          0 |          0 |    9545880 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    6592073 |          0 |          0 |          0 |          0 |          0 |          0 |    2809177
  num incorrect                      |      59265 |          0 |          0 |          0 |          0 |          0 |          0 |    1970298 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1111607 |          0 |          0 |          0 |          0 |          0 |          0 |     383485
  misprediction rate                 |      3.76% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     17.11% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     14.43% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     12.01%
  mpki                               |       1.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       6.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       4.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       4.08
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3476185 |          0 |          0 |          0 |          0 |          0 |          0 |   32743579 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   23354979 |          0 |          0 |          0 |          0 |          0 |          0 |   10016292
    num misses                       |        264 |          0 |          0 |          0 |          0 |          0 |          0 |       2079 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |       1879 |          0 |          0 |          0 |          0 |          0 |          0 |        548
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   13215731 |          0 |          0 |          0 |          0 |          0 |          0 |  109047956 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   80013640 |          0 |          0 |          0 |          0 |          0 |          0 |   31021863
    num misses                       |      11825 |          0 |          0 |          0 |          0 |          0 |          0 |     357772 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     371186 |          0 |          0 |          0 |          0 |          0 |          0 |     212342
