                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  265554494 |          0 |          0 |  288794041 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  271817287 |          0 |          0 |  263989839 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800 |  319628800
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.83 |       0.00 |       0.00 |       0.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.85 |       0.00 |       0.00 |       0.83 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200
  Idle time (ns)                     |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |    6689344 |   79907200 |   79907200 |    6558049 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |    6491679 |   79907200 |   79907200 |    8111696 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200 |   79907200
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       8.4% |     100.0% |     100.0% |       8.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       8.1% |     100.0% |     100.0% |      10.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   29445168 |          0 |          0 |   31535449 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   28695528 |          0 |          0 |   27543605 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    4050220 |          0 |          0 |    3732713 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    3906772 |          0 |          0 |    3991980 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     12.09% |      0.00% |      0.00% |     10.58% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     11.98% |      0.00% |      0.00% |     12.66% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
