                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   36523269 |          0 |          0 |  311757791 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  226516695 |          0 |          0 |   93936785 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000 |  237836000
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.15 |       0.00 |       0.00 |       1.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.95 |       0.00 |       0.00 |       0.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000
  Idle time (ns)                     |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   54576650 |   59459000 |   59459000 |    7753318 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   22741303 |   59459000 |   59459000 |   44221130 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000 |   59459000
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      91.8% |     100.0% |     100.0% |      13.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      38.2% |     100.0% |     100.0% |      74.4% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1515123 |          0 |          0 |    9545927 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    6592288 |          0 |          0 |    2809152 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      62246 |          0 |          0 |    1970255 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1111400 |          0 |          0 |     383502 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      3.95% |      0.00% |      0.00% |     17.11% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     14.43% |      0.00% |      0.00% |     12.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
