                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   11493958 |          0 |          0 |          0 |          0 |  452677649 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  412661378 |          0 |          0 |          0 |          0 |  413922965 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600 |  379669600
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       1.19 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.09 |       0.00 |       0.00 |       0.00 |       0.00 |       1.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400
  Idle time (ns)                     |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   92885473 |   94917400 |   94917400 |   94917400 |   94917400 |    2816197 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |    3036688 |   94917400 |   94917400 |   94917400 |   94917400 |    2969857 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400 |   94917400
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      97.9% |     100.0% |     100.0% |     100.0% |     100.0% |       3.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       3.2% |     100.0% |     100.0% |     100.0% |     100.0% |       3.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     798772 |          0 |          0 |          0 |          0 |   45815799 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   37488700 |          0 |          0 |          0 |          0 |   37728029 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      18200 |          0 |          0 |          0 |          0 |     341744 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     298479 |          0 |          0 |          0 |          0 |     301584 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.23% |      0.00% |      0.00% |      0.00% |      0.00% |      0.74% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.79% |      0.00% |      0.00% |      0.00% |      0.00% |      0.79% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.58 |       0.00 |       0.00 |       0.00 |       0.00 |       0.75 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.72 |       0.00 |       0.00 |       0.00 |       0.00 |       0.73 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1644008 |          0 |          0 |          0 |          0 |   49744653 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   41005559 |          0 |          0 |          0 |          0 |   41264535 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |        189 |          0 |          0 |          0 |          0 |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |         35 |          0 |          0 |          0 |          0 |         35 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
