                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  122375360 |          0 |          0 |  109325115 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  108132181 |          0 |          0 |  115314246 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000 |   95346000
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.28 |       0.00 |       0.00 |       1.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.13 |       0.00 |       0.00 |       1.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500
  Idle time (ns)                     |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |    3001339 |   23836500 |   23836500 |    4998172 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |    5151778 |   23836500 |   23836500 |    2514718 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500 |   23836500
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      12.6% |     100.0% |     100.0% |      21.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      21.6% |     100.0% |     100.0% |      10.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   12092856 |          0 |          0 |    9964487 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    9685853 |          0 |          0 |   10874472 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     810940 |          0 |          0 |     693702 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     693619 |          0 |          0 |     939524 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.28% |      0.00% |      0.00% |      6.51% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.68% |      0.00% |      0.00% |      7.95% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
