                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  122375306 |  108133625 |          0 |          0 |          0 |          0 |          0 |          0 |  109322423 |  115315132 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600 |  103387600
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.18 |       1.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.06 |       1.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900
  Idle time (ns)                     |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |    3123472 |    5346195 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |    5166681 |    2584147 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900 |   25846900
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      12.1% |      20.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      20.0% |      10.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   12090669 |    9686328 |          0 |          0 |          0 |          0 |          0 |          0 |    9965978 |   10877424 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     813115 |     693357 |          0 |          0 |          0 |          0 |          0 |          0 |     691886 |     936687 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.30% |      6.68% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.49% |      7.93% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
