                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  103263879 |   77050453 |          0 |          0 |          0 |          0 |          0 |          0 |   80570832 |   80681305 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400 |   49922400
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       2.07 |       1.54 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.61 |       1.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600
  Idle time (ns)                     |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |     879398 |    4081520 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |    3650271 |    3606466 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600 |   12480600
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       7.0% |      32.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      29.2% |      28.9% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   11659492 |    9511647 |          0 |          0 |          0 |          0 |          0 |          0 |    9951621 |    9963828 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      13457 |       7551 |          0 |          0 |          0 |          0 |          0 |          0 |       6997 |       7219 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.12% |      0.08% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.07% |      0.07% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.13 |       0.10 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.09 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
