                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  430780019 |  406746230 |          0 |          0 |          0 |          0 |          0 |          0 |  421383338 |  401038668 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600 |  612843600
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.70 |       0.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.69 |       0.65 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900
  Idle time (ns)                     |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |    3991950 |    9934688 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |    5634182 |   11564922 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900 |  153210900
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       2.6% |       6.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       3.7% |       7.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   27078601 |   25379658 |          0 |          0 |          0 |          0 |          0 |          0 |   26228617 |   25037688 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    2896773 |    2908190 |          0 |          0 |          0 |          0 |          0 |          0 |    2821005 |    2895207 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      9.66% |     10.28% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      9.71% |     10.36% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
