                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   99521489 |          0 |          0 |          0 |          0 |  549240494 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  547377919 |          0 |          0 |          0 |          0 |   24953982 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200 |  397465200
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.25 |       0.00 |       0.00 |       0.00 |       0.00 |       1.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300
  Idle time (ns)                     |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   86426965 |   99366300 |   99366300 |   99366300 |   99366300 |   17069353 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   17233943 |   99366300 |   99366300 |   99366300 |   99366300 |   96542638 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300 |   99366300
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      87.0% |     100.0% |     100.0% |     100.0% |     100.0% |      17.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      17.3% |     100.0% |     100.0% |     100.0% |     100.0% |      97.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    5474570 |          0 |          0 |          0 |          0 |   48435217 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   48174340 |          0 |          0 |          0 |          0 |    1569463 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     125546 |          0 |          0 |          0 |          0 |     886295 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     883948 |          0 |          0 |          0 |          0 |       7903 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.24% |      0.00% |      0.00% |      0.00% |      0.00% |      1.80% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      1.80% |      0.00% |      0.00% |      0.00% |      0.00% |      0.50% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
